student_name,student_id,age,study_hours,attendance,assignment_delay,stress,gpa,internet,part_time_job,family_problems,scholarship,department,semester
Student 29,STU0029,19,4,79,1,9,0,Yes,No,Yes,Yes,Software Engineering,Semester 1
Student 30,STU0030,20,4,72,3,5,3,Yes,No,Yes,Yes,Software Engineering,Semester 4
Student 31,STU0031,19,6,81,7,5,3,Yes,Yes,No,No,Engineering,Semester 3
Student 32,STU0032,25,4,77,3,5,2,Yes,No,Yes,Yes,Engineering,Semester 1
Student 33,STU0033,21,6,81,2,3,3,Yes,No,No,No,Engineering,Semester 4
Student 34,STU0034,18,4,67,1,5,1,No,No,No,No,Data Science,Semester 3
Student 35,STU0035,22,2,95,2,5,0,No,No,Yes,No,Business,Semester 3
Student 36,STU0036,18,4,61,1,5,0,Yes,Yes,No,Yes,Software Engineering,Semester 2
Student 37,STU0037,21,2,80,1,7,1,Yes,No,No,No,Software Engineering,Semester 1
Student 38,STU0038,17,6,78,0,4,3,Yes,Yes,Yes,Yes,Business,Semester 1
Student 39,STU0039,18,2,70,1,5,2,Yes,No,No,Yes,Engineering,Semester 2
Student 40,STU0040,21,4,85,3,5,3,Yes,Yes,Yes,Yes,Data Science,Semester 4
Student 41,STU0041,22,5,74,2,5,2,Yes,No,Yes,No,Software Engineering,Semester 4
Student 42,STU0042,21,7,85,1,4,1,Yes,Yes,No,Yes,Computer Science,Semester 3
Student 43,STU0043,20,3,95,6,6,2,Yes,Yes,No,No,Data Science,Semester 3
Student 44,STU0044,20,4,72,2,8,2,No,No,Yes,Yes,Data Science,Semester 3
Student 45,STU0045,17,2,89,1,7,0,Yes,No,Yes,Yes,Engineering,Semester 3
Student 46,STU0046,19,3,69,2,7,1,Yes,No,No,No,Business,Semester 2
Student 47,STU0047,20,6,75,1,5,3,Yes,Yes,No,Yes,Computer Science,Semester 4
Student 48,STU0048,23,5,86,1,3,4,Yes,Yes,Yes,No,Engineering,Semester 3
Student 49,STU0049,21,5,79,2,1,3,Yes,No,No,No,Business,Semester 1
Student 50,STU0050,17,4,93,3,1,3,Yes,No,No,No,Computer Science,Semester 3
Student 51,STU0051,21,5,83,1,5,3,No,No,Yes,Yes,Software Engineering,Semester 3
Student 52,STU0052,20,6,86,1,6,2,Yes,No,No,No,Computer Science,Semester 4
Student 53,STU0053,19,3,76,2,7,2,No,No,No,No,Engineering,Semester 3
Student 54,STU0054,22,4,73,4,5,2,No,No,No,No,Computer Science,Semester 2
Student 55,STU0055,23,3,72,0,4,0,Yes,No,No,Yes,Computer Science,Semester 4
Student 56,STU0056,23,1,74,0,6,0,No,No,No,No,Computer Science,Semester 4
Student 57,STU0057,19,4,76,1,3,2,Yes,No,Yes,No,Software Engineering,Semester 3
Student 58,STU0058,20,4,91,3,3,2,Yes,No,Yes,Yes,Business,Semester 2
Student 59,STU0059,21,3,85,5,6,0,Yes,No,No,No,Computer Science,Semester 4
Student 60,STU0060,23,3,71,2,3,0,Yes,Yes,No,No,Data Science,Semester 1
Student 61,STU0061,19,4,78,2,4,4,Yes,Yes,No,No,Engineering,Semester 3
Student 62,STU0062,20,4,81,3,3,2,Yes,Yes,No,Yes,Data Science,Semester 4
Student 63,STU0063,18,6,100,0,5,3,Yes,No,No,No,Business,Semester 3
Student 64,STU0064,18,4,82,1,6,1,Yes,Yes,No,Yes,Engineering,Semester 1
Student 65,STU0065,22,4,85,1,6,1,Yes,Yes,No,No,Business,Semester 3
Student 66,STU0066,24,3,74,2,4,3,Yes,No,No,Yes,Engineering,Semester 3
Student 67,STU0067,20,2,87,0,5,3,Yes,No,Yes,Yes,Data Science,Semester 2
Student 68,STU0068,23,2,93,2,6,4,Yes,No,No,Yes,Data Science,Semester 2
Student 69,STU0069,21,3,80,1,4,1,Yes,No,No,No,Software Engineering,Semester 1
Student 70,STU0070,19,4,86,4,3,2,No,No,No,No,Business,Semester 2
Student 71,STU0071,21,4,86,3,4,2,Yes,No,No,Yes,Data Science,Semester 4
Student 72,STU0072,24,2,82,1,4,3,Yes,No,Yes,Yes,Engineering,Semester 2
Student 73,STU0073,20,1,92,1,5,2,Yes,No,No,Yes,Computer Science,Semester 4
Student 74,STU0074,24,3,75,2,5,4,Yes,Yes,No,No,Computer Science,Semester 1
Student 75,STU0075,17,5,75,1,5,3,Yes,No,No,No,Computer Science,Semester 1
Student 76,STU0076,22,3,82,2,4,2,Yes,Yes,No,Yes,Software Engineering,Semester 3
Student 77,STU0077,21,4,79,2,5,3,Yes,Yes,Yes,No,Data Science,Semester 4
Student 78,STU0078,20,1,58,3,6,1,Yes,No,No,Yes,Business,Semester 3
Student 79,STU0079,21,4,76,2,6,1,Yes,Yes,No,No,Business,Semester 3
Student 80,STU0080,17,4,65,0,4,1,Yes,No,No,Yes,Software Engineering,Semester 3
Student 81,STU0081,20,4,79,2,5,1,No,No,No,No,Engineering,Semester 4
Student 82,STU0082,21,5,87,1,7,0,Yes,No,No,No,Data Science,Semester 2
Student 83,STU0083,24,5,82,2,5,0,Yes,No,Yes,No,Data Science,Semester 4
Student 84,STU0084,19,6,83,0,5,1,Yes,No,No,No,Engineering,Semester 2
Student 85,STU0085,19,2,80,2,8,3,Yes,Yes,Yes,No,Engineering,Semester 4
Student 86,STU0086,19,4,83,0,7,2,Yes,No,No,Yes,Data Science,Semester 1
Student 87,STU0087,23,2,100,1,4,3,Yes,No,Yes,No,Data Science,Semester 1
Student 88,STU0088,21,4,79,3,7,1,Yes,No,Yes,No,Computer Science,Semester 2
Student 89,STU0089,19,4,81,0,5,2,No,No,No,No,Business,Semester 3
Student 90,STU0090,22,1,75,1,3,2,Yes,Yes,No,Yes,Computer Science,Semester 3
Student 91,STU0091,21,4,66,1,7,2,Yes,Yes,No,No,Computer Science,Semester 3
Student 92,STU0092,23,3,84,0,4,0,Yes,Yes,No,No,Business,Semester 3
Student 93,STU0093,19,4,91,3,5,3,Yes,No,No,Yes,Software Engineering,Semester 4
Student 94,STU0094,20,3,100,0,4,3,Yes,No,No,No,Software Engineering,Semester 1
Student 95,STU0095,20,6,80,3,9,0,Yes,No,No,No,Software Engineering,Semester 4
Student 96,STU0096,17,4,79,0,3,0,Yes,No,No,No,Software Engineering,Semester 4
Student 97,STU0097,21,4,74,0,5,1,Yes,No,No,No,Engineering,Semester 4
Student 98,STU0098,21,3,95,4,4,2,Yes,No,No,Yes,Computer Science,Semester 2
Student 99,STU0099,21,1,72,2,6,2,Yes,Yes,No,No,Engineering,Semester 1
Student 100,STU0100,20,2,87,0,5,1,Yes,Yes,Yes,No,Engineering,Semester 2
Student 101,STU0101,17,6,96,1,4,4,Yes,No,No,Yes,Business,Semester 3
Student 102,STU0102,20,4,80,2,5,2,Yes,No,Yes,Yes,Software Engineering,Semester 1
Student 103,STU0103,20,4,72,1,7,2,Yes,No,No,Yes,Data Science,Semester 2
Student 104,STU0104,19,4,88,2,2,3,Yes,Yes,Yes,Yes,Software Engineering,Semester 2
Student 105,STU0105,20,5,71,2,4,1,No,No,No,No,Computer Science,Semester 4
Student 106,STU0106,21,4,91,0,6,1,Yes,Yes,Yes,Yes,Engineering,Semester 2
Student 107,STU0107,25,4,97,4,5,3,Yes,Yes,No,Yes,Computer Science,Semester 2
Student 108,STU0108,21,4,63,3,5,1,Yes,No,No,Yes,Engineering,Semester 3
Student 109,STU0109,21,4,95,1,5,1,Yes,Yes,No,No,Engineering,Semester 3
Student 110,STU0110,20,3,87,2,6,1,Yes,Yes,No,Yes,Engineering,Semester 2
Student 111,STU0111,17,6,93,0,6,4,Yes,Yes,No,Yes,Data Science,Semester 2
Student 112,STU0112,20,2,76,1,6,1,Yes,Yes,No,Yes,Software Engineering,Semester 2
Student 113,STU0113,21,3,87,2,6,2,No,No,No,No,Engineering,Semester 4
Student 114,STU0114,26,1,83,2,4,2,Yes,No,No,Yes,Business,Semester 4
Student 115,STU0115,20,5,75,1,7,1,Yes,Yes,No,No,Engineering,Semester 4
Student 116,STU0116,21,4,79,3,4,2,No,Yes,No,Yes,Software Engineering,Semester 3
Student 117,STU0117,20,6,86,0,5,2,Yes,Yes,No,Yes,Software Engineering,Semester 1
Student 118,STU0118,18,3,73,2,2,2,Yes,No,No,Yes,Data Science,Semester 4
Student 119,STU0119,23,2,72,2,4,2,No,Yes,Yes,Yes,Engineering,Semester 4
Student 120,STU0120,22,4,56,0,5,0,Yes,No,No,Yes,Business,Semester 2
Student 121,STU0121,22,4,75,3,5,1,Yes,Yes,No,Yes,Data Science,Semester 4
Student 122,STU0122,19,3,84,4,7,2,No,Yes,No,Yes,Data Science,Semester 1
Student 123,STU0123,24,4,77,0,4,0,Yes,No,No,No,Engineering,Semester 3
Student 124,STU0124,17,3,92,1,4,1,Yes,No,No,Yes,Engineering,Semester 4
Student 125,STU0125,22,5,70,2,4,1,Yes,Yes,No,No,Data Science,Semester 3
Student 126,STU0126,25,5,86,3,5,3,Yes,No,Yes,No,Data Science,Semester 4
Student 127,STU0127,18,4,79,1,8,1,Yes,No,No,No,Data Science,Semester 3
Student 128,STU0128,19,5,81,0,1,4,No,No,Yes,Yes,Computer Science,Semester 3
Student 129,STU0129,21,3,87,1,4,1,Yes,No,Yes,No,Data Science,Semester 4
Student 130,STU0130,19,3,60,2,4,1,Yes,No,No,Yes,Software Engineering,Semester 4
Student 131,STU0131,17,1,64,1,1,1,Yes,No,No,Yes,Business,Semester 3
Student 132,STU0132,21,4,81,2,5,1,Yes,Yes,Yes,Yes,Business,Semester 1
Student 133,STU0133,18,4,80,2,4,2,Yes,No,No,No,Engineering,Semester 1
Student 134,STU0134,22,5,70,3,4,2,Yes,No,No,Yes,Data Science,Semester 1
Student 135,STU0135,19,4,98,1,3,2,No,Yes,Yes,No,Business,Semester 1
Student 136,STU0136,24,3,72,1,5,1,Yes,Yes,Yes,Yes,Business,Semester 4
Student 137,STU0137,19,3,77,2,3,2,Yes,Yes,Yes,No,Software Engineering,Semester 2
Student 138,STU0138,20,3,91,2,4,1,Yes,No,Yes,No,Software Engineering,Semester 3
Student 139,STU0139,22,5,76,3,5,3,Yes,No,No,No,Computer Science,Semester 1
Student 140,STU0140,18,6,75,1,7,1,No,No,No,No,Computer Science,Semester 1
Student 141,STU0141,21,5,85,1,6,0,No,Yes,No,No,Business,Semester 2
Student 142,STU0142,23,6,76,1,6,3,Yes,No,Yes,No,Engineering,Semester 2
Student 143,STU0143,17,4,85,2,9,2,Yes,No,No,Yes,Business,Semester 4
Student 144,STU0144,21,2,86,1,6,2,Yes,No,No,No,Engineering,Semester 3
Student 145,STU0145,21,2,85,4,3,0,Yes,No,No,No,Business,Semester 3
Student 146,STU0146,22,2,91,3,4,2,Yes,No,No,Yes,Software Engineering,Semester 2
Student 147,STU0147,18,3,78,1,4,1,Yes,No,No,No,Data Science,Semester 2
Student 148,STU0148,18,3,78,0,5,2,Yes,No,Yes,Yes,Business,Semester 2
Student 149,STU0149,22,4,81,3,4,3,Yes,No,No,No,Computer Science,Semester 4
Student 150,STU0150,21,3,59,5,3,3,Yes,No,No,Yes,Engineering,Semester 3
Student 151,STU0151,21,4,83,0,7,2,No,No,Yes,Yes,Engineering,Semester 2
Student 152,STU0152,21,7,79,2,7,1,Yes,Yes,Yes,Yes,Business,Semester 1
Student 153,STU0153,19,5,85,1,5,3,Yes,Yes,Yes,No,Engineering,Semester 3
Student 154,STU0154,21,4,74,1,3,3,Yes,Yes,No,Yes,Computer Science,Semester 3
Student 155,STU0155,21,5,92,4,5,4,No,No,Yes,No,Software Engineering,Semester 1
Student 156,STU0156,19,2,80,2,4,3,Yes,No,Yes,No,Data Science,Semester 1
Student 157,STU0157,25,2,88,1,7,0,Yes,Yes,No,No,Data Science,Semester 3
Student 158,STU0158,22,5,77,2,3,3,Yes,Yes,No,Yes,Engineering,Semester 3
Student 159,STU0159,18,4,85,2,6,2,Yes,No,Yes,Yes,Business,Semester 2
Student 160,STU0160,22,4,69,0,6,1,Yes,No,No,No,Engineering,Semester 4
Student 161,STU0161,18,2,64,4,7,2,Yes,No,No,Yes,Computer Science,Semester 4
Student 162,STU0162,22,3,80,1,5,2,Yes,No,No,No,Business,Semester 2
Student 163,STU0163,23,3,81,1,4,1,Yes,No,No,No,Software Engineering,Semester 1
Student 164,STU0164,19,3,81,1,9,1,Yes,No,No,Yes,Computer Science,Semester 1
Student 165,STU0165,23,6,79,3,3,2,Yes,No,No,No,Software Engineering,Semester 1
Student 166,STU0166,21,6,78,2,6,2,Yes,Yes,Yes,No,Business,Semester 1
Student 167,STU0167,22,5,87,1,5,3,Yes,No,No,No,Software Engineering,Semester 2
Student 168,STU0168,25,4,96,0,6,2,Yes,Yes,No,No,Computer Science,Semester 3
Student 169,STU0169,20,3,100,2,6,4,Yes,No,No,No,Computer Science,Semester 2
Student 170,STU0170,19,2,90,1,3,3,Yes,No,No,Yes,Engineering,Semester 1
Student 171,STU0171,19,4,63,0,3,0,Yes,No,No,No,Business,Semester 2
Student 172,STU0172,19,5,90,0,3,3,Yes,Yes,Yes,No,Data Science,Semester 4
Student 173,STU0173,20,5,90,3,4,3,Yes,No,Yes,No,Data Science,Semester 4
Student 174,STU0174,21,4,81,1,5,0,Yes,Yes,Yes,Yes,Software Engineering,Semester 1
Student 175,STU0175,21,4,89,2,4,3,Yes,Yes,No,No,Data Science,Semester 2
Student 176,STU0176,22,3,84,1,2,2,Yes,Yes,Yes,Yes,Data Science,Semester 4
Student 177,STU0177,21,3,81,0,7,2,Yes,No,No,Yes,Computer Science,Semester 3
Student 178,STU0178,24,2,84,4,2,1,Yes,No,Yes,No,Computer Science,Semester 1
Student 179,STU0179,20,3,77,1,6,1,No,No,No,No,Computer Science,Semester 2
Student 180,STU0180,27,4,67,2,4,3,Yes,No,Yes,No,Data Science,Semester 1
Student 181,STU0181,22,3,67,6,7,0,Yes,No,No,Yes,Software Engineering,Semester 4
Student 182,STU0182,19,2,89,5,4,2,Yes,No,No,No,Business,Semester 3
Student 183,STU0183,18,4,73,1,2,2,No,No,No,Yes,Engineering,Semester 4
Student 184,STU0184,22,4,69,2,5,2,No,No,No,Yes,Software Engineering,Semester 1
Student 185,STU0185,20,3,69,3,4,1,Yes,No,No,No,Computer Science,Semester 3
Student 186,STU0186,22,3,78,0,7,2,Yes,No,Yes,Yes,Software Engineering,Semester 2
Student 187,STU0187,22,0,94,1,6,1,Yes,No,Yes,Yes,Business,Semester 4
Student 188,STU0188,20,4,80,1,4,3,Yes,No,Yes,Yes,Computer Science,Semester 3
Student 189,STU0189,19,4,70,2,3,4,Yes,Yes,No,No,Business,Semester 1
Student 190,STU0190,17,5,93,1,3,3,Yes,Yes,Yes,No,Engineering,Semester 2
Student 191,STU0191,20,3,84,1,4,2,Yes,No,Yes,Yes,Software Engineering,Semester 1
Student 192,STU0192,22,4,79,1,8,2,No,Yes,No,Yes,Engineering,Semester 1
Student 193,STU0193,21,5,85,3,5,2,No,Yes,No,No,Data Science,Semester 2
Student 194,STU0194,18,4,82,0,7,2,Yes,No,No,No,Software Engineering,Semester 3
Student 195,STU0195,21,4,76,1,2,2,Yes,Yes,No,No,Data Science,Semester 3
Student 196,STU0196,21,4,77,2,2,2,Yes,No,No,No,Business,Semester 2
Student 197,STU0197,19,1,72,4,3,3,Yes,No,No,No,Data Science,Semester 2
Student 198,STU0198,21,4,78,3,6,0,No,No,Yes,No,Business,Semester 1
Student 199,STU0199,21,2,89,0,5,3,No,Yes,No,No,Engineering,Semester 1
Student 200,STU0200,18,2,89,0,7,1,Yes,Yes,No,No,Computer Science,Semester 4
Student 201,STU0201,21,4,80,2,7,2,Yes,No,Yes,No,Engineering,Semester 2
Student 202,STU0202,22,5,80,3,3,2,Yes,Yes,No,No,Data Science,Semester 4
Student 203,STU0203,23,5,73,1,7,2,Yes,Yes,No,No,Business,Semester 2
Student 204,STU0204,23,4,85,1,8,2,No,Yes,Yes,No,Data Science,Semester 4
Student 205,STU0205,18,4,70,4,7,2,Yes,Yes,No,No,Computer Science,Semester 1
Student 206,STU0206,18,5,88,5,2,2,Yes,Yes,Yes,Yes,Software Engineering,Semester 1
Student 207,STU0207,22,6,85,2,2,3,Yes,No,No,No,Software Engineering,Semester 3
Student 208,STU0208,22,3,79,2,4,2,Yes,Yes,No,No,Software Engineering,Semester 4
Student 209,STU0209,22,3,85,0,4,1,Yes,Yes,No,Yes,Data Science,Semester 2
Student 210,STU0210,29,4,79,2,7,2,Yes,No,Yes,No,Software Engineering,Semester 4
Student 211,STU0211,22,1,83,1,3,2,Yes,No,Yes,No,Business,Semester 1
Student 212,STU0212,23,3,83,1,6,1,Yes,Yes,Yes,Yes,Computer Science,Semester 3
Student 213,STU0213,23,4,91,2,3,3,Yes,Yes,Yes,No,Engineering,Semester 4
Student 214,STU0214,22,3,85,2,6,1,Yes,No,No,No,Business,Semester 1
Student 215,STU0215,20,1,90,1,4,2,Yes,No,No,No,Computer Science,Semester 2
Student 216,STU0216,22,5,85,5,6,4,Yes,No,No,Yes,Engineering,Semester 3
Student 217,STU0217,19,3,81,0,4,2,Yes,No,No,Yes,Software Engineering,Semester 1
Student 218,STU0218,20,3,86,1,1,3,Yes,Yes,No,Yes,Engineering,Semester 2
Student 219,STU0219,19,5,84,2,6,1,Yes,No,No,Yes,Data Science,Semester 4
Student 220,STU0220,21,0,79,0,7,1,Yes,Yes,No,Yes,Data Science,Semester 2
Student 221,STU0221,26,5,70,3,4,1,Yes,No,Yes,No,Software Engineering,Semester 2
Student 222,STU0222,17,6,77,3,7,3,Yes,No,No,No,Software Engineering,Semester 2
Student 223,STU0223,22,2,77,0,4,2,Yes,No,No,No,Business,Semester 3
Student 224,STU0224,17,3,86,1,3,2,Yes,Yes,No,Yes,Business,Semester 1
Student 225,STU0225,20,4,81,2,4,4,Yes,Yes,No,No,Data Science,Semester 1
Student 226,STU0226,23,4,75,2,5,2,Yes,No,No,Yes,Computer Science,Semester 2
Student 227,STU0227,21,5,80,1,3,3,No,No,Yes,No,Business,Semester 4
Student 228,STU0228,18,4,79,1,7,3,Yes,No,Yes,No,Computer Science,Semester 4
Student 229,STU0229,19,5,74,0,2,3,No,Yes,No,No,Data Science,Semester 1
Student 230,STU0230,22,8,93,1,4,3,Yes,Yes,No,Yes,Business,Semester 4
Student 231,STU0231,19,1,80,2,3,2,Yes,No,No,No,Computer Science,Semester 2
Student 232,STU0232,21,5,75,3,7,2,Yes,Yes,No,No,Computer Science,Semester 1
Student 233,STU0233,21,5,68,0,2,3,Yes,No,No,No,Business,Semester 1
Student 234,STU0234,19,2,82,0,7,0,Yes,No,No,No,Software Engineering,Semester 4
Student 235,STU0235,25,2,86,4,5,1,Yes,No,Yes,No,Engineering,Semester 1
Student 236,STU0236,22,4,76,2,3,4,Yes,No,Yes,Yes,Software Engineering,Semester 3
Student 237,STU0237,17,2,83,0,4,2,Yes,No,Yes,No,Engineering,Semester 2
Student 238,STU0238,21,3,73,2,5,1,Yes,Yes,No,Yes,Computer Science,Semester 3
Student 239,STU0239,19,4,80,0,6,2,Yes,No,No,Yes,Business,Semester 1
Student 240,STU0240,22,3,90,1,4,3,Yes,Yes,Yes,Yes,Data Science,Semester 4
Student 241,STU0241,19,3,80,4,6,0,No,No,Yes,No,Business,Semester 3
Student 242,STU0242,20,2,76,1,5,0,No,Yes,No,Yes,Software Engineering,Semester 3
Student 243,STU0243,22,2,92,1,6,0,No,No,No,No,Engineering,Semester 3
Student 244,STU0244,22,4,83,0,3,3,Yes,Yes,No,No,Business,Semester 4
Student 245,STU0245,18,3,78,0,5,1,Yes,Yes,No,No,Engineering,Semester 4
Student 246,STU0246,20,4,75,1,5,0,No,No,Yes,No,Software Engineering,Semester 1
Student 247,STU0247,20,4,72,1,5,1,Yes,Yes,No,No,Software Engineering,Semester 4
Student 248,STU0248,19,4,85,4,5,2,No,No,Yes,Yes,Business,Semester 3
Student 249,STU0249,24,3,88,3,9,1,No,No,No,Yes,Data Science,Semester 1
Student 250,STU0250,21,2,82,0,6,3,No,Yes,No,No,Data Science,Semester 4
Student 251,STU0251,18,4,80,2,6,2,Yes,No,No,No,Engineering,Semester 2
Student 252,STU0252,23,4,71,1,5,3,Yes,Yes,No,Yes,Business,Semester 4
Student 253,STU0253,25,5,70,1,6,2,No,Yes,No,No,Computer Science,Semester 4
Student 254,STU0254,23,2,82,1,5,0,Yes,No,No,No,Software Engineering,Semester 1
Student 255,STU0255,17,1,82,3,8,0,Yes,No,No,No,Engineering,Semester 1
Student 256,STU0256,19,3,85,2,5,1,Yes,Yes,No,No,Software Engineering,Semester 1
Student 257,STU0257,23,2,85,3,7,2,No,No,Yes,No,Engineering,Semester 2
Student 258,STU0258,19,2,78,0,9,0,Yes,No,No,No,Business,Semester 2
Student 259,STU0259,22,0,96,2,6,1,Yes,No,No,No,Engineering,Semester 4
Student 260,STU0260,22,4,73,2,5,1,Yes,Yes,No,No,Engineering,Semester 4
Student 261,STU0261,19,2,78,1,4,3,Yes,No,No,Yes,Computer Science,Semester 1
Student 262,STU0262,20,2,88,2,4,3,No,No,No,No,Engineering,Semester 1
Student 263,STU0263,17,3,76,3,6,1,Yes,No,No,No,Data Science,Semester 2
Student 264,STU0264,18,4,82,1,5,2,Yes,No,No,No,Engineering,Semester 2
Student 265,STU0265,20,3,77,2,6,2,No,No,Yes,Yes,Engineering,Semester 1
Student 266,STU0266,18,2,78,1,4,3,Yes,Yes,Yes,Yes,Business,Semester 4
Student 267,STU0267,24,5,71,3,5,2,Yes,No,No,Yes,Engineering,Semester 2
Student 268,STU0268,17,4,88,3,5,3,Yes,No,No,Yes,Computer Science,Semester 1
Student 269,STU0269,20,4,88,0,3,4,Yes,Yes,No,No,Business,Semester 1
Student 270,STU0270,21,3,88,2,4,1,Yes,No,No,No,Software Engineering,Semester 1
Student 271,STU0271,24,5,78,2,4,3,Yes,No,No,Yes,Data Science,Semester 2
Student 272,STU0272,17,4,84,2,10,0,Yes,No,No,Yes,Data Science,Semester 4
Student 273,STU0273,23,4,98,0,7,1,No,No,No,Yes,Software Engineering,Semester 2
Student 274,STU0274,21,5,84,3,3,3,No,Yes,No,No,Engineering,Semester 4
Student 275,STU0275,18,1,72,2,2,1,Yes,No,No,No,Computer Science,Semester 2
Student 276,STU0276,22,4,75,1,3,1,Yes,No,Yes,No,Computer Science,Semester 1
Student 277,STU0277,21,3,74,0,8,2,Yes,No,Yes,Yes,Computer Science,Semester 1
Student 278,STU0278,19,3,92,3,3,3,Yes,No,No,No,Computer Science,Semester 3
Student 279,STU0279,21,5,85,1,8,2,Yes,No,No,Yes,Engineering,Semester 1
Student 280,STU0280,20,5,69,1,5,3,Yes,No,Yes,Yes,Software Engineering,Semester 4
Student 281,STU0281,21,5,92,1,5,3,No,No,Yes,Yes,Software Engineering,Semester 1
Student 282,STU0282,22,4,86,0,3,3,Yes,No,No,No,Data Science,Semester 3
Student 283,STU0283,24,3,83,1,7,2,Yes,No,No,Yes,Software Engineering,Semester 1
Student 284,STU0284,18,5,94,0,6,3,Yes,No,Yes,No,Computer Science,Semester 1
Student 285,STU0285,25,2,80,2,7,2,Yes,Yes,Yes,No,Engineering,Semester 2
Student 286,STU0286,17,6,92,1,5,1,Yes,Yes,No,Yes,Business,Semester 4
Student 287,STU0287,20,3,64,1,6,0,Yes,No,No,Yes,Business,Semester 3
Student 288,STU0288,22,3,76,0,8,2,Yes,Yes,Yes,No,Computer Science,Semester 2
Student 289,STU0289,21,3,88,1,6,1,Yes,No,No,No,Data Science,Semester 3
Student 290,STU0290,19,4,95,1,3,2,Yes,Yes,No,No,Business,Semester 1
Student 291,STU0291,20,4,72,3,5,1,Yes,No,No,Yes,Computer Science,Semester 3
Student 292,STU0292,19,3,78,2,6,1,Yes,Yes,No,Yes,Engineering,Semester 2
Student 293,STU0293,19,4,83,1,8,1,Yes,Yes,No,Yes,Business,Semester 1
Student 294,STU0294,22,3,74,2,6,3,Yes,No,No,No,Computer Science,Semester 2
Student 295,STU0295,21,0,79,3,7,1,Yes,No,No,No,Business,Semester 4
Student 296,STU0296,19,7,94,3,6,3,Yes,No,Yes,No,Engineering,Semester 4
Student 297,STU0297,23,6,73,1,3,4,Yes,No,No,No,Software Engineering,Semester 4
Student 298,STU0298,21,2,80,4,7,2,Yes,No,No,No,Software Engineering,Semester 3
Student 299,STU0299,22,3,84,4,5,3,Yes,Yes,No,No,Engineering,Semester 4
Student 300,STU0300,22,3,85,4,9,2,Yes,No,Yes,No,Engineering,Semester 3
Student 301,STU0301,19,4,75,3,2,2,Yes,No,No,No,Software Engineering,Semester 3
Student 302,STU0302,19,4,80,0,3,2,Yes,No,Yes,Yes,Engineering,Semester 2
Student 303,STU0303,22,2,79,2,6,1,Yes,Yes,No,Yes,Engineering,Semester 1
Student 304,STU0304,22,4,84,0,5,2,Yes,No,Yes,Yes,Engineering,Semester 1
Student 305,STU0305,21,4,72,4,5,1,Yes,Yes,No,No,Software Engineering,Semester 2
Student 306,STU0306,21,6,92,0,5,3,No,No,No,Yes,Software Engineering,Semester 4
Student 307,STU0307,23,3,84,0,5,2,Yes,No,No,Yes,Business,Semester 2
Student 308,STU0308,19,5,90,4,4,3,Yes,Yes,Yes,No,Software Engineering,Semester 2
