student_name,student_id,semester,attendance,gpa,stress_index,sleep_hours,study_hours,assignment_completion,internet_usage,social_activity,family_support,mental_health_score,financial_stress,extracurricular,absences,predicted_risk,probability_score
Chris Ng,0366333,Semester 3,91,2.31,55,4.3,2.7,62,8.5,3,2,1,5,3,1,Low Risk,13.61
Ryan Lau,0491351,Semester 1,87,2.71,35,3.8,5.9,76,6.8,5,3,5,8,2,10,Low Risk,13.01
Justin Chan,0369470,Semester 3,83,3.39,60,8.8,8.2,76,2.0,7,1,5,9,0,14,Low Risk,36.89
Leo Lee,0454473,Semester 4,92,3.2,57,3.7,3.1,33,7.8,9,6,10,4,5,2,Low Risk,22.09
Jason Goh,0430676,Semester 4,48,1.9,14,4.8,5.4,42,3.6,9,3,7,8,2,17,High Risk,80.26
John Ong,0344970,Semester 1,66,3.24,72,6.7,9.5,65,1.4,6,4,8,8,1,11,Medium Risk,97.18
Justin Wong,0347930,Semester 3,97,3.95,55,3.4,3.5,45,11.4,8,2,4,10,0,1,Low Risk,15.04
Harry Teo,0410851,Semester 3,44,3.63,80,4.2,2.9,59,4.6,3,10,1,5,1,4,High Risk,89.34
Sean Koh,0430289,Semester 1,95,1.86,11,5.1,8.1,71,1.2,5,1,3,7,4,3,Low Risk,41.12
David Ng,0344741,Semester 4,46,2.79,38,8.7,1.4,96,4.3,1,1,8,7,3,3,Low Risk,27.74
Harry Lau,0392719,Semester 4,78,2.13,26,4.7,6.7,100,8.8,7,10,9,5,3,16,Medium Risk,59.26
John Tan,0329536,Semester 3,81,3.23,80,7.3,2.9,87,10.8,7,6,8,7,3,3,Low Risk,36.6
Leo Lau,0485674,Semester 3,83,3.83,18,3.5,1.8,85,2.1,6,3,9,1,4,17,Low Risk,26.43
Leo Lau,0383563,Semester 1,98,3.39,46,6.6,4.2,94,3.3,8,4,2,6,4,11,Low Risk,32.96
Lucas Lau,0340512,Semester 3,75,3.94,89,6.7,6.8,33,7.7,5,1,3,5,5,9,Medium Risk,70.09
Alex Chong,0446421,Semester 2,49,3.05,61,3.4,7.7,33,2.0,9,4,7,7,3,10,Medium Risk,70.91
Sean Lee,0319602,Semester 4,100,3.05,20,8.3,2.4,36,8.4,5,8,7,8,4,14,Medium Risk,66.75
Jason Chong,0324662,Semester 2,62,2.75,46,7.1,6.3,97,8.3,1,4,7,10,0,0,Low Risk,18.45
Daniel Chan,0326828,Semester 1,56,2.44,25,3.0,7.7,52,2.4,9,4,9,9,5,11,High Risk,72.07
John Lee,0328289,Semester 2,41,2.81,19,8.2,6.2,81,8.8,7,5,2,7,0,10,Low Risk,34.73
John Ng,0314207,Semester 1,67,3.66,41,5.6,4.6,40,5.4,5,6,4,6,1,2,Low Risk,17.76
Justin Chong,0419016,Semester 4,86,3.91,92,7.9,3.1,48,3.8,3,10,3,2,1,20,Medium Risk,74.95
Justin Zhang,0427146,Semester 3,77,2.79,82,6.9,9.9,71,10.5,6,3,8,2,3,14,Medium Risk,89.24
Daniel Liew,0446265,Semester 4,62,2.92,49,5.8,1.3,77,10.1,2,2,10,10,4,12,Low Risk,48.17
Nathan Ong,0466985,Semester 2,98,3.58,93,4.1,6.4,94,2.7,1,8,2,6,5,2,Low Risk,38.3
Brandon Lau,0331798,Semester 4,73,3.14,56,5.2,3.5,82,9.5,10,1,6,2,2,3,Low Risk,38.95
Alex Lau,0338221,Semester 4,49,2.53,84,7.0,9.3,69,11.6,7,3,10,2,2,17,Medium Risk,82.67
Jason Tan,0313278,Semester 4,48,3.27,97,8.5,1.8,84,6.6,1,6,5,3,1,10,Medium Risk,63.26
Brandon Chong,0438016,Semester 2,44,2.45,22,6.0,5.9,97,1.4,6,10,3,10,3,4,Medium Risk,62.78
Kevin Ng,0354313,Semester 3,97,2.16,66,3.3,4.3,60,11.7,10,5,8,4,4,7,Low Risk,41.37
Aaron Goh,0397538,Semester 1,83,3.88,66,5.8,3.5,78,6.5,7,3,4,10,1,8,Low Risk,44.96
Leo Zhang,0425860,Semester 3,46,3.37,76,8.1,3.6,50,4.0,9,3,7,2,1,14,High Risk,95.01
Jack Liew,0387110,Semester 4,65,2.9,40,5.3,1.7,58,1.3,2,6,3,3,0,9,Low Risk,15.55
Ryan Chan,0362923,Semester 3,79,1.81,20,3.1,2.9,49,7.0,10,9,7,2,2,7,Medium Risk,60.24
Ryan Koh,0415075,Semester 3,80,3.55,68,3.4,8.5,93,7.6,1,9,10,4,5,4,Low Risk,34.59
Adam Ng,0384364,Semester 4,66,2.21,95,3.5,9.8,38,11.5,9,9,9,9,0,12,High Risk,56.87
Nathan Yap,0438080,Semester 2,56,3.44,55,7.7,4.1,43,9.5,6,3,1,6,4,10,Medium Risk,90.71
Ethan Zhang,0442914,Semester 4,70,3.19,27,3.4,8.0,88,1.4,4,1,4,1,2,9,Low Risk,31.72
Sean Lim,0383579,Semester 2,88,3.22,46,5.1,8.0,72,4.0,6,7,7,8,3,10,Low Risk,29.9
Leo Tan,0489131,Semester 3,91,1.98,64,3.5,6.4,53,7.0,6,2,2,6,5,9,Medium Risk,74.17
Lucas Zhang,0493886,Semester 4,84,2.78,67,3.3,8.8,75,7.8,7,5,1,2,5,20,Low Risk,42.04
John Ng,0421915,Semester 2,49,3.67,96,7.7,1.3,38,3.6,6,6,7,10,0,19,High Risk,84.2
Harry Lim,0419508,Semester 4,68,3.48,83,3.8,4.3,70,8.1,4,2,1,3,3,16,Medium Risk,94.28
Alex Teo,0434050,Semester 1,89,2.37,67,4.3,6.5,92,3.2,3,2,8,3,5,14,Medium Risk,89.85
Jack Zhang,0496951,Semester 2,62,3.36,80,6.3,9.0,50,8.8,3,6,9,4,0,6,Medium Risk,65.18
Justin Lee,0397416,Semester 4,63,3.02,57,5.8,9.8,46,7.7,2,2,5,7,5,15,Medium Risk,88.07
Sean Tan,0476244,Semester 1,48,3.94,92,3.4,5.2,96,4.8,9,10,3,3,3,16,High Risk,90.75
David Ong,0384847,Semester 3,59,2.16,51,8.6,3.0,96,10.8,2,5,4,9,2,4,Medium Risk,81.42
Justin Chan,0482132,Semester 3,81,2.17,84,3.9,6.9,73,10.3,10,1,1,2,0,20,High Risk,83.0
Kevin Ng,0333206,Semester 2,79,3.21,73,8.3,5.9,68,6.3,7,5,8,2,5,1,Low Risk,29.37
Jason Lee,0398501,Semester 4,78,2.12,50,7.4,8.7,81,2.4,6,9,9,2,2,7,Low Risk,27.98
Chris Liew,0382512,Semester 4,43,2.44,59,8.2,4.8,50,9.9,10,6,4,3,3,16,High Risk,76.45
Henry Lau,0450306,Semester 4,41,2.0,60,6.0,9.7,57,7.4,1,1,5,8,4,20,High Risk,67.29
Sean Liew,0469429,Semester 3,46,2.75,43,7.4,7.9,76,1.5,1,10,9,4,2,17,Medium Risk,58.16
Daniel Zhang,0417100,Semester 4,88,3.01,89,7.1,2.1,42,5.3,6,9,6,3,1,19,Medium Risk,76.5
Jack Yap,0399353,Semester 3,48,3.37,70,6.1,2.3,95,2.5,10,6,3,7,4,9,Low Risk,30.39
Justin Liew,0365392,Semester 2,76,2.46,12,5.2,7.1,83,7.4,1,10,8,5,5,18,Medium Risk,86.02
Kevin Chan,0319116,Semester 2,50,2.95,89,7.6,4.4,61,1.3,2,4,1,8,2,13,Medium Risk,72.76
Lucas Liew,0387992,Semester 4,72,3.5,70,8.2,7.6,37,8.8,9,4,9,6,5,15,Medium Risk,68.49
Jack Ng,0324371,Semester 3,98,2.97,79,5.1,7.9,63,7.7,4,4,5,9,2,7,Low Risk,38.2
Ethan Yap,0457795,Semester 1,70,2.57,45,4.7,6.2,99,5.2,7,6,3,5,0,9,Low Risk,27.7
Daniel Lee,0376542,Semester 2,70,2.27,78,4.6,6.1,64,2.5,10,10,4,4,0,16,High Risk,82.43
David Teo,0461876,Semester 3,66,2.53,70,3.6,7.9,30,11.6,3,7,8,8,5,6,Low Risk,35.84
Justin Koh,0427361,Semester 1,76,2.31,14,8.5,2.6,52,11.3,1,7,8,3,5,9,Medium Risk,55.4
Ethan Yap,0494012,Semester 3,46,3.84,52,4.7,9.9,99,6.8,3,9,8,5,1,3,Low Risk,28.36
Jason Liew,0382357,Semester 1,51,1.83,53,7.7,6.1,54,2.9,7,7,9,6,0,12,High Risk,62.95
Harry Liew,0441285,Semester 3,60,3.86,10,4.6,3.1,64,11.5,5,10,10,1,2,20,Low Risk,12.48
Brandon Ng,0310942,Semester 4,59,2.15,97,6.0,9.1,69,8.6,5,6,10,4,1,4,Medium Risk,61.59
Harry Zhang,0486484,Semester 1,66,3.34,70,7.5,8.2,57,9.4,10,2,9,8,4,11,Medium Risk,94.44
Sean Liew,0419071,Semester 4,93,3.0,74,4.2,5.8,51,4.6,9,8,2,4,5,18,High Risk,58.91
John Yap,0334356,Semester 1,91,1.92,26,6.1,5.1,37,7.1,5,1,7,5,0,6,Medium Risk,56.95
Adam Chan,0322097,Semester 4,44,2.99,17,8.6,1.6,90,1.3,7,3,3,7,2,12,Medium Risk,92.39
Chris Liew,0488172,Semester 1,45,3.3,94,8.2,2.2,74,2.3,9,7,9,3,5,7,Medium Risk,87.52
Brandon Zhang,0461856,Semester 1,83,3.38,64,6.2,8.4,61,6.1,3,5,4,2,0,13,Low Risk,12.69
Justin Ng,0358393,Semester 3,68,3.12,100,8.2,3.2,35,5.4,4,9,4,1,1,16,Medium Risk,65.07
Leo Ong,0480284,Semester 2,76,3.12,96,7.9,3.1,48,11.8,9,4,7,5,2,1,Medium Risk,81.92
Jason Chong,0392240,Semester 4,71,1.9,54,8.6,7.0,97,4.5,7,7,3,5,3,5,Low Risk,19.01
Kevin Zhang,0388504,Semester 4,69,3.81,81,5.5,4.7,97,2.5,4,5,4,6,5,2,Low Risk,13.7
Henry Wong,0340495,Semester 3,57,2.63,87,6.6,8.9,54,9.9,10,9,4,8,1,10,Medium Risk,96.15
Chris Lim,0399192,Semester 4,99,2.22,25,7.5,7.8,61,8.7,4,7,4,9,2,9,Low Risk,35.95
Aaron Goh,0439154,Semester 2,63,2.93,73,5.8,8.2,90,9.4,6,4,6,6,3,1,Low Risk,10.65
John Tan,0473653,Semester 4,77,3.07,63,4.8,2.8,59,5.2,4,8,9,6,2,15,Medium Risk,74.82
Jason Zhang,0396673,Semester 2,48,3.38,72,4.1,9.0,37,6.8,2,1,1,7,1,20,High Risk,57.92
Chris Zhang,0396374,Semester 1,53,2.91,57,3.4,6.7,91,8.3,1,1,9,9,3,0,Low Risk,20.99
Ethan Chong,0490173,Semester 3,72,3.59,96,5.6,9.5,52,2.2,2,9,3,4,1,19,Medium Risk,90.05
Henry Yap,0353540,Semester 4,65,1.97,61,5.8,3.2,58,4.3,2,1,2,7,3,12,Medium Risk,57.41
Ethan Goh,0481200,Semester 1,50,1.98,65,6.9,4.0,42,10.8,1,4,4,10,3,8,Medium Risk,94.74
Aaron Ng,0346500,Semester 2,74,3.04,14,4.1,8.7,32,11.6,10,3,7,2,2,5,Low Risk,43.98
Brandon Chan,0437869,Semester 3,64,3.46,27,7.7,7.2,40,6.5,6,1,2,7,1,2,Low Risk,34.55
Brandon Lim,0479352,Semester 4,89,2.52,91,4.6,9.9,92,3.5,9,7,7,3,5,18,Medium Risk,58.68
Ethan Lee,0321226,Semester 4,91,2.34,19,3.5,2.4,49,9.1,6,6,2,2,0,9,Medium Risk,70.48
Henry Lim,0391183,Semester 3,48,1.99,65,5.7,6.0,82,2.1,2,6,9,2,4,19,Medium Risk,92.14
Leo Lim,0482309,Semester 3,66,2.65,20,7.3,6.0,61,7.3,3,7,3,3,2,9,Low Risk,12.53
Alex Liew,0474042,Semester 4,66,2.46,19,5.2,9.5,93,7.5,4,8,2,3,2,0,Low Risk,34.81
Justin Chong,0316572,Semester 3,61,2.75,93,8.8,2.2,71,7.6,4,8,6,3,3,10,Low Risk,35.32
Nathan Yap,0399166,Semester 1,55,2.52,45,7.9,4.5,44,11.3,4,10,9,3,5,17,Medium Risk,95.98
Brandon Liew,0380010,Semester 4,53,2.76,47,8.0,1.6,82,8.4,3,5,4,5,5,4,Low Risk,12.96
Justin Teo,0345697,Semester 3,77,2.68,74,8.5,8.8,83,7.0,6,9,10,2,0,7,Low Risk,34.51
Adam Liew,0418675,Semester 2,83,3.22,52,8.8,4.9,31,2.1,4,9,9,9,4,18,Medium Risk,74.17
Nathan Chong,0399399,Semester 3,89,3.3,98,6.0,4.1,33,6.3,5,7,2,2,5,4,Medium Risk,68.41
Lucas Goh,0399733,Semester 1,53,2.95,54,5.9,4.9,87,4.5,5,1,2,1,2,20,Medium Risk,84.12
Brandon Goh,0339451,Semester 4,87,2.34,32,6.3,4.0,84,11.5,4,7,3,3,5,13,Medium Risk,56.26
Harry Lim,0393130,Semester 3,52,2.79,64,5.3,7.3,56,4.1,2,10,2,9,1,11,Medium Risk,63.47
Chris Goh,0482063,Semester 2,82,3.7,77,8.8,3.8,79,7.7,10,2,6,6,3,19,Medium Risk,89.99
Leo Tan,0359823,Semester 2,79,3.1,96,3.8,2.1,69,2.3,6,3,9,7,3,19,Medium Risk,79.72
Henry Liew,0498039,Semester 1,71,3.2,98,8.5,9.4,52,7.1,8,5,3,3,2,14,Medium Risk,92.22
Ryan Lim,0467422,Semester 1,48,2.23,59,8.8,5.5,93,5.5,8,7,8,8,1,2,Medium Risk,89.22
Nathan Ong,0469638,Semester 1,42,2.4,78,4.7,8.0,93,7.0,2,10,2,5,4,11,High Risk,87.68
Ryan Wong,0431174,Semester 1,53,3.98,23,7.4,6.9,61,4.3,1,8,5,6,0,14,Medium Risk,88.35
Lucas Ng,0424621,Semester 3,91,3.42,98,5.1,7.4,84,2.8,3,4,4,1,4,11,Medium Risk,80.66
Alex Lau,0331417,Semester 2,85,2.44,83,4.6,8.7,42,2.5,7,1,5,3,5,4,High Risk,61.29
John Liew,0387128,Semester 3,55,3.48,96,5.4,2.3,64,7.9,7,8,2,2,3,16,Medium Risk,84.87
Jack Lim,0385880,Semester 4,100,2.87,84,3.0,8.0,41,9.0,8,6,2,9,3,6,Medium Risk,90.47
Leo Wong,0330032,Semester 2,60,3.62,53,6.3,2.2,92,9.7,1,1,2,8,0,3,Low Risk,10.03
Chris Yap,0428726,Semester 2,84,3.8,93,4.8,8.9,65,2.0,6,5,2,6,5,20,Medium Risk,57.23
Alex Lau,0423396,Semester 1,84,3.46,64,6.9,7.3,30,3.3,2,3,10,4,4,14,Medium Risk,55.35
Jason Teo,0456566,Semester 4,47,3.97,64,7.2,5.3,59,5.2,2,2,6,6,2,4,Medium Risk,88.26
Harry Tan,0431319,Semester 2,83,2.11,77,6.4,6.5,51,5.8,4,3,7,10,5,14,High Risk,58.73
Henry Lau,0398696,Semester 3,88,2.07,59,5.1,4.9,47,3.7,2,4,9,10,4,19,Medium Risk,88.5
Sean Goh,0315482,Semester 2,94,3.25,48,4.2,6.5,54,9.2,5,1,4,8,3,3,Low Risk,33.76
Daniel Chong,0425129,Semester 1,40,3.97,50,3.8,8.7,83,5.0,3,8,2,1,4,2,Low Risk,11.59
Kevin Chong,0417685,Semester 1,65,2.91,90,7.3,7.9,84,8.7,2,9,9,10,1,8,Low Risk,30.45
Brandon Zhang,0348890,Semester 1,49,2.98,60,6.5,7.9,38,4.4,7,4,1,4,0,13,Medium Risk,74.49
Ethan Yap,0317455,Semester 2,59,3.27,94,7.4,2.1,47,8.7,3,8,6,9,4,8,Medium Risk,70.99
Justin Tan,0442098,Semester 1,96,2.06,13,5.0,4.9,97,1.7,10,2,8,8,4,11,Medium Risk,76.48
Jason Tan,0387397,Semester 4,63,2.15,23,8.4,7.1,44,3.5,9,1,1,1,1,1,Medium Risk,70.65
Daniel Tan,0389840,Semester 3,99,3.91,14,6.3,9.2,83,3.5,4,7,6,5,0,18,Low Risk,36.93
Chris Yap,0469929,Semester 3,54,3.57,15,8.7,1.6,89,10.5,5,6,2,9,3,0,Low Risk,32.55
Henry Ng,0324168,Semester 2,79,2.33,57,6.6,5.4,55,9.1,9,4,3,1,3,0,Medium Risk,78.29
Ryan Goh,0437760,Semester 1,40,3.47,58,8.1,7.5,43,3.3,4,7,8,1,1,8,Medium Risk,56.89
Jason Wong,0340007,Semester 1,94,2.94,99,8.4,5.1,40,7.4,9,3,7,2,4,18,Medium Risk,73.7
Lucas Liew,0359797,Semester 1,58,2.37,50,8.6,4.5,71,4.5,5,4,2,4,1,18,Medium Risk,61.68
Alex Tan,0462581,Semester 1,69,2.49,25,6.2,9.7,56,6.0,8,5,2,2,1,9,Medium Risk,64.25
Harry Chong,0356357,Semester 2,45,3.36,55,5.4,1.4,68,3.9,3,1,7,8,4,17,Medium Risk,59.07
David Wong,0359615,Semester 1,90,2.11,11,3.4,8.0,58,2.4,7,6,2,10,4,8,Medium Risk,55.94
Lucas Ng,0493748,Semester 4,97,3.22,26,3.6,8.6,72,2.3,8,1,3,10,3,12,Low Risk,37.33
Ethan Chan,0384668,Semester 4,53,3.8,45,4.7,9.0,34,7.8,10,4,5,8,3,17,High Risk,57.62
Lucas Zhang,0361173,Semester 3,48,2.72,92,8.3,5.7,99,9.7,7,6,8,9,3,11,Medium Risk,71.7
Aaron Lau,0486622,Semester 1,60,3.11,13,8.4,8.0,37,9.9,8,9,6,10,1,5,Low Risk,19.65
Justin Koh,0488104,Semester 1,90,3.82,17,7.6,9.5,79,4.9,3,3,4,10,2,11,Low Risk,24.07
Alex Goh,0428373,Semester 2,49,3.04,34,8.0,8.3,93,7.0,3,8,1,2,0,7,Low Risk,29.12
Adam Koh,0459735,Semester 1,79,2.24,26,5.0,2.6,71,1.7,3,10,3,2,4,11,Medium Risk,71.06
Justin Lau,0328131,Semester 3,46,2.54,51,3.8,2.4,85,9.7,8,6,3,9,5,19,Medium Risk,64.6
Brandon Wong,0413248,Semester 3,51,2.63,98,4.8,2.6,30,11.4,10,7,10,1,1,19,High Risk,94.6
John Lim,0370068,Semester 3,80,3.04,73,3.8,7.7,60,4.8,6,3,2,6,3,0,Low Risk,37.73
Justin Teo,0483519,Semester 1,90,2.04,10,3.3,4.9,83,11.7,7,8,7,6,4,12,Medium Risk,90.64
David Ng,0457447,Semester 4,88,3.31,30,5.7,8.2,34,4.2,6,5,2,2,2,5,Low Risk,13.0
Aaron Yap,0415695,Semester 2,78,3.97,71,7.2,4.9,51,7.7,7,3,1,2,2,6,Medium Risk,72.6
Chris Lau,0358434,Semester 1,99,3.41,43,7.0,3.7,42,1.5,10,9,8,3,0,11,Medium Risk,73.39
Ethan Lee,0317665,Semester 4,82,3.18,71,4.2,1.2,51,8.0,2,8,2,5,3,15,High Risk,93.48
Harry Lee,0395181,Semester 1,81,3.0,33,5.2,4.4,53,5.9,5,8,8,5,1,8,Low Risk,37.86
David Chan,0499593,Semester 2,82,2.56,79,5.5,7.8,59,7.1,7,9,7,9,5,15,Medium Risk,75.48
Leo Wong,0482512,Semester 1,97,3.68,14,6.0,9.1,48,2.3,8,3,3,4,1,4,Low Risk,49.53
Henry Chong,0444179,Semester 4,92,3.18,86,4.5,9.2,38,2.0,9,7,9,6,2,16,High Risk,94.44
John Goh,0384341,Semester 3,84,3.17,76,7.7,2.0,49,2.6,10,10,2,2,4,3,Medium Risk,92.3
Alex Yap,0357052,Semester 1,66,2.38,93,5.9,6.5,34,2.9,7,3,10,10,5,12,High Risk,72.02
Nathan Chong,0438893,Semester 2,55,1.91,70,8.5,9.1,32,4.7,5,5,5,8,5,3,Medium Risk,60.78
Adam Tan,0431178,Semester 2,92,2.51,63,6.6,1.8,86,3.3,7,8,9,6,0,16,Low Risk,38.38
Nathan Ong,0414165,Semester 3,89,3.67,82,3.2,2.7,55,10.2,4,1,8,1,2,6,Medium Risk,70.84
David Lim,0334931,Semester 2,65,3.2,25,7.1,3.2,92,7.5,3,8,10,9,2,11,Low Risk,20.35
